input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,matched_veridion_id,matched_company_name,company_legal_names,main_country_code,main_country,main_region,main_city,main_postcode,main_street,main_street_number,linkedin_url,website_url,match_score,match_status,review_needed
2,3 STEP IT A/S,DK,Denmark,Region Of Southern Denmark,Tønder Municipality,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,3 Step IT A/S.,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Vandtårnsvej,62,,http://www.3stepit.dk/?opi=79508299&sa=U&ved=0ahUKEwiKsvSF7tyMAxWo78kDHfZKCtQQ61gIFCgQ&usg=AOvVaw1O2VrP_KM3o5n9XzsuUwLL,100.0,Matched,False
3,3 STEP IT AS,NO,Norway,Oslo,Oslo,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,3 Step IT A/S.,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Vandtårnsvej,62,,http://www.3stepit.dk/?opi=79508299&sa=U&ved=0ahUKEwiKsvSF7tyMAxWo78kDHfZKCtQQ61gIFCgQ&usg=AOvVaw1O2VrP_KM3o5n9XzsuUwLL,88.0,Matched,False
130,DELOITTE ADVOKATFIRMA AS,NO,Norway,Oslo,Oslo,b69603af-1aff-11ec-bc98-195cbdc2446a,Deloitte Norge,,NO,Norway,Oslo,Oslo,0191,Dronning Eufemias Gate,14,,http://www.deloitte.no/?opi=79508299&sa=U&ved=0ahUKEwiFwZ3V1quMAxValokEHbfFE-sQ61gIFCgQ&usg=AOvVaw1mrNGUeUDJuiYxHwgqhTP6,82.1,Needs Review,True
131,DELOITTE AS,NO,Norway,Oslo,Oslo,b69603af-1aff-11ec-bc98-195cbdc2446a,Deloitte Norge,,NO,Norway,Oslo,Oslo,0191,Dronning Eufemias Gate,14,,http://www.deloitte.no/?opi=79508299&sa=U&ved=0ahUKEwiFwZ3V1quMAxValokEHbfFE-sQ61gIFCgQ&usg=AOvVaw1mrNGUeUDJuiYxHwgqhTP6,100.0,Matched,False
209,GOOGLE COMMERCE LIMITED,IE,Ireland,,,be55a775-c4b2-11ec-af9f-718ab7b26330,Google Commerce Limited,Google Commerce Limited,IE,Ireland,Leinster,Dublin 4,D04 R674,Barrow Street,,,https://lespotnoir.com/,100.0,Matched,False
210,GOOGLE IRELAND LIMITED,IE,Ireland,Leinster,Dublin 4,be55a775-c4b2-11ec-af9f-718ab7b26330,Google Commerce Limited,Google Commerce Limited,IE,Ireland,Leinster,Dublin 4,D04 R674,Barrow Street,,,https://lespotnoir.com/,100.0,Matched,False
468,"SoftwareONE Co., Ltd.",TH,Thailand,Bangkok,Pathum Wan,1c568f21-ef82-11ee-99aa-8b980cad1cb9,SoftwareOne,,,,,,,,,,https://softwareone.digital/,75.9,Needs Review,True
470,SOFTWAREONE PTE. LTD.,SG,Singapore,Central,Singapore,1c568f21-ef82-11ee-99aa-8b980cad1cb9,SoftwareOne,,,,,,,,,,https://softwareone.digital/,73.3,Unmatched,False
476,SQUARETRADE EUROPE LIMITED,MT,Malta,Central Region,Birkirkara,2c43d957-93e5-11eb-8474-3bbe2d07207d,SquareTrade,SquareTrade Limited,GB,United Kingdom,England,London,W1F 9BS,Golden Square,,,http://squaretrade.uk/,84.4,Needs Review,True
477,SQUARETRADE LIMITED,GB,United Kingdom,England,London,2c43d957-93e5-11eb-8474-3bbe2d07207d,SquareTrade,SquareTrade Limited,GB,United Kingdom,England,London,W1F 9BS,Golden Square,,,http://squaretrade.uk/,100.0,Matched,False
509,TELENOR ASA,NO,Norway,Viken,Bærum,18792b00-93e5-11eb-8859-29e7c34dee35,Telenor,Telenor ASA. | Telenor AB.,NO,Norway,Viken,Bærum,1364,Snarøyveien,30R,https://www.linkedin.com/company/telenor-group,http://www.telenor.com/,100.0,Matched,False
517,TELENOR GO PTE. LTD.,SG,Singapore,Central,Singapore,3dffc0c5-f693-11ed-9ca5-8f4c99fa5cf8,Telenor Inpli Singapore,,SG,Singapore,Central,Singapore,178957,Thomson Road,101,,,98.5,Matched,False
523,TELENOR PROCUREMENT COMPANY PTE. LTD.,SG,Singapore,Central,Singapore,3dffc0c5-f693-11ed-9ca5-8f4c99fa5cf8,Telenor Inpli Singapore,,SG,Singapore,Central,Singapore,178957,Thomson Road,101,,,91.7,Matched,False
524,TELENOR REAL ESTATE AS,NO,Norway,Viken,Bærum,18792b00-93e5-11eb-8859-29e7c34dee35,Telenor,Telenor ASA. | Telenor AB.,NO,Norway,Viken,Bærum,1364,Snarøyveien,30R,https://www.linkedin.com/company/telenor-group,http://www.telenor.com/,100.0,Matched,False
